Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Netherlands,Included / Australie,Price / Australie,Compare At Price / Australie,Included / Canada,Price / Canada,Compare At Price / Canada,Included / Denenmarken,Price / Denenmarken,Compare At Price / Denenmarken,Included / EURO,Price / EURO,Compare At Price / EURO,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Included / Middle East,Price / Middle East,Compare At Price / Middle East,Included / Norway,Price / Norway,Compare At Price / Norway,Included / Rest of Europe,Price / Rest of Europe,Compare At Price / Rest of Europe,Included / South Africa,Price / South Africa,Compare At Price / South Africa,Included / Sweden,Price / Sweden,Compare At Price / Sweden,Included / United States,Price / United States,Compare At Price / United States,Status
kl-ver-kjede-1-1-gratis,Rosa Clover Necklace™ | Buy 1 Get 1 Free!,"<h3 style=""text-align: left;"" data-mce-style=""text-align: left;""><span data-mce-fragment=""1"">Rosa Clover Necklace™ now 1+1 FREE </span></h3>
<h6 style=""text-align: left;"" data-mce-style=""text-align: left;""><span data-mce-fragment=""1""><span style=""color: #ff2a00;"" data-mce-style=""color: #ff2a00;""><em><strong>Rosa Clover Necklace™ Summer is a limited edition: this is our final release. The necklaces will be sold out.<br data-mce-fragment=""1""><br></strong></em></span></span></h6>
<div class=""group w-full text-token-text-primary border-b border-black/10 dark:border-gray-900/50 bg-gray-50 dark:bg-[#444654]"" data-testid=""conversation-turn-17"">
<div class=""p-4 justify-center text-base md:gap-6 md:py-6 m-auto"">
<div class=""flex flex-1 gap-4 text-base mx-auto md:gap-6 md:max-w-2xl lg:max-w-[38rem] xl:max-w-3xl }"">
<div class=""relative flex w-[calc(100%-50px)] flex-col gap-1 md:gap-3 lg:w-[calc(100%-115px)]"">
<div class=""flex flex-grow flex-col gap-3 max-w-full"">
<div class=""min-h-[20px] flex flex-col items-start gap-3 overflow-x-auto whitespace-pre-wrap break-words"">
<div class=""markdown prose w-full break-words dark:prose-invert light"">
<p>A beautiful and timeless piece of jewelry that makes a perfect gift for someone you love or a special treat for yourself.</p>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<div class=""group w-full text-token-text-primary border-b border-black/10 dark:border-gray-900/50 dark:bg-gray-800"" data-testid=""conversation-turn-18"">
<div class=""p-4 justify-center text-base md:gap-6 md:py-6 m-auto"">
<div class=""flex flex-1 gap-4 text-base mx-auto md:gap-6 md:max-w-2xl lg:max-w-[38rem] xl:max-w-3xl }"">
<div class=""flex-shrink-0 flex flex-col relative items-end"">
<div><br></div>
</div>
</div>
</div>
</div>
<p><img data-mce-fragment=""1"" height=""291"" width=""388"" alt=""Single motief klaver edelsteen ketting 18K vergulde ketting afbeelding 1"" src=""https://i.etsystatic.com/35577654/r/il/1ac7a5/5011628487/il_1140xN.5011628487_srt8.jpg"" style=""display: block; margin-left: auto; margin-right: auto;"" data-mce-style=""display: block; margin-left: auto; margin-right: auto;""></p>
<div class=""group w-full text-token-text-primary border-b border-black/10 dark:border-gray-900/50 bg-gray-50 dark:bg-[#444654]"" data-testid=""conversation-turn-19"">
<div class=""p-4 justify-center text-base md:gap-6 md:py-6 m-auto"">
<div class=""flex flex-1 gap-4 text-base mx-auto md:gap-6 md:max-w-2xl lg:max-w-[38rem] xl:max-w-3xl }"">
<div class=""relative flex w-[calc(100%-50px)] flex-col gap-1 md:gap-3 lg:w-[calc(100%-115px)]"">
<div class=""flex flex-grow flex-col gap-3 max-w-full"">
<div class=""min-h-[20px] flex flex-col items-start gap-3 overflow-x-auto whitespace-pre-wrap break-words"">
<div class=""markdown prose w-full break-words dark:prose-invert light"">
<p>""Discover all our colorfull Clover Necklaces. These necklaces are perfect if you're looking for an elegant piece of jewelry that complements any outfit perfectly!</p>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<div class=""group w-full text-token-text-primary border-b border-black/10 dark:border-gray-900/50 dark:bg-gray-800"" data-testid=""conversation-turn-20"">
<div class=""p-4 justify-center text-base md:gap-6 md:py-6 m-auto"">
<div class=""flex flex-1 gap-4 text-base mx-auto md:gap-6 md:max-w-2xl lg:max-w-[38rem] xl:max-w-3xl }"">
<div class=""flex-shrink-0 flex flex-col relative items-end"">
<div><br></div>
</div>
</div>
</div>
</div>
<p><span><strong>Take advantage of the 1+1 free promotion today!</strong> </span></p>
<p><span>🔗 Chain length: 17.7 inches <br>👑 18K gold and 316L stainless steel <br>💎 Resistant to water, heat, and sweat <br>💍 Hypoallergenic (no green skin)""</span></p>",Rosa Rose,,"","Kopy, popup-icon",false,Title,Default Title,,,,,"",0.0,shopify,0,deny,manual,30.99,79.99,true,false,,https://cdn.shopify.com/s/files/1/0652/9774/4121/products/il_794xN.5011628487_srt8.jpg?v=1694732684,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/9774/4121/products/O1CN011kok2A1KawZW33AJu__2210860721181-0-cib_1000x_b1cd92fe-a6ca-4099-b151-481976bacd9d.webp?v=1694732684,kg,,,true,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,draft
kl-ver-kjede-1-1-gratis,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/9774/4121/products/O1CN011kok2A1KawZW33AJu__2210860721181-0-cib_1000x_b1cd92fe-a6ca-4099-b151-481976bacd9d.webp?v=1694732684,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kl-ver-kjede-1-1-gratis,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/9774/4121/products/il_794xN.4963348612_i4dt.jpg?v=1694732684,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kl-ver-kjede-1-1-gratis,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/9774/4121/products/il_794xN.5011613627_8oem.jpg?v=1694732685,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kl-ver-kjede-1-1-gratis,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/9774/4121/products/il_794xN.4963348704_amq5.jpg?v=1694732685,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kl-ver-kjede-1-1-gratis,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/9774/4121/products/il_300x300.5011628487_srt8.jpg?v=1694732685,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kl-ver-kjede-1-1-gratis,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/9774/4121/products/il_300x300.4963348610_nx8u.jpg?v=1694732685,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kl-ver-kjede-1-1-gratis,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/9774/4121/products/il_300x300.5011613567_3ozf.jpg?v=1694732685,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kl-ver-kjede-1-1-gratis,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/9774/4121/products/il_300x300.4963348614_5q0f.jpg?v=1694732685,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kl-ver-kjede-1-1-gratis,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0652/9774/4121/products/il_300x300.4963348696_31to.jpg?v=1694732685,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
